Liga;Casa;Visitante;fair odd over 1.5; odd over 1.5; % valor; fair odd over 2.5; odd over 2.5; % valor; fair odd under 3.5; odd under 3.5; % valor;
Liga dos Campeões da UEFA;Chelsea;Real Madrid;1,09;0;-100,00%;2,136;1,91;-10,58%;1,262;0;-100,00%;
Liga dos Campeões da UEFA;Napoli;Milan;1,209;0;-100,00%;1,923;2,1;9,20%;1,545;0;-100,00%;
Copa Libertadores da América;Fluminense;The Strongest;2;0;-100,00%;1,954;1,53;-21,70%;2;0;-100,00%;
Copa Libertadores da América;Athletico PR;Atlético-MG;3,637;0;-100,00%;4,927;2,25;-54,33%;1,112;0;-100,00%;
Copa Bridgestone Sul-Americana;RB Bragantino;O. Petrolero;4;0;-100,00%;3,008;1,6;-46,81%;1,334;0;-100,00%;
Copa Bridgestone Sul-Americana;NOB;Blooming;8;0;-100,00%;4,629;1,7;-63,28%;1,143;0;-100,00%;
Copa Bridgestone Sul-Americana;Estudiantes;Tacuary;4;0;-100,00%;9,546;1,72;-81,98%;1,334;0;-100,00%;
Copa Bridgestone Sul-Americana;Palestino;Estudiantes M.;4;0;-100,00%;2,421;1,8;-25,65%;1,143;0;-100,00%;
Championship;Sheff Utd;Bristol City;1,366;1,25;-8,49%;2,748;0;-100,00%;1,347;1,38;2,45%;
Championship;Rotherham;Burnley;1,274;1,32;3,61%;2,156;0;-100,00%;1,329;1,3;-2,18%;
Championship;Sunderland;Huddersfield;1,399;1,31;-6,36%;1,831;0;-100,00%;1,295;1,36;5,02%;
Championship;Stoke;Wigan;1,424;1,32;-7,30%;2,433;0;-100,00%;1,278;1,34;4,85%;
Championship;Blackpool;West Bromwich;1,46;1,31;-10,27%;2,005;0;-100,00%;1,375;1,35;-1,82%;
Championship;Millwall;Birmingham;1,414;0;-100,00%;2,546;2,22;-12,80%;1,191;0;-100,00%;
Super Liga Turca;Fatih;Ümraniye;1,167;0;-100,00%;1,402;1,51;7,70%;2,021;0;-100,00%;
Super Liga Turca;Alanyaspor;Galatasaray;1,283;0;-100,00%;1,317;0;-100,00%;1,551;0;-100,00%;
Primera División;Once Caldas;Petrolera;1,755;0;-100,00%;5,138;0;-100,00%;1,087;0;-100,00%;
Primera División;Jaguares;Equidad;1,545;0;-100,00%;3,515;0;-100,00%;1,184;0;-100,00%;
1. Division;Nea Salamis;Doxa;1,329;0;-100,00%;1,726;0;-100,00%;1,258;0;-100,00%;
1. Division;Akritas;Olympiakos;1,424;0;-100,00%;1,851;0;-100,00%;1,278;0;-100,00%;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
