Liga,MediaLiga,TimeCasa,TimeFora,fair odd over 1.5,fair odd over 2.5,fair odd over 3.5, fair odd under 3.5, Over 2.5 Casa, Over 2.5 Casa Total, Over 2.5 Casa Ult Jogos, Over 2.5 Casa Total Ult Jogos,Over 2.5 Fora, Over 2.5 Fora Total,Over 2.5 Fora Ult Jogos, Over 2.5 Fora Total Ult Jogos,Over 1.5 Casa, Over 1.5 Casa Total, Over 2.5 Casa, Over 2.5 Casa Total, Over 3.5 Casa, Over 3.5 Casa Total,Over 1.5 Fora, OVer 1.5 Fora Total, OVer 2.5 Fora, Over 2.5 Fora Total, Over 3.5 Fora, Over 3.5 Fora Total
Série B,,Guarani,Avaí,0,0,0,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Série B,,Ituano,Ceará,0,0,0,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liga MX,,A San Luis,Juárez,1.450,2.082,5.000,1.250,47,42,47,42,50,44,50,44,69,69,44,41,13,22,65,73,47,42,24,21
Liga MX,,Necaxa,Puebla,1.270,1.797,2.516,1.660,53,50,53,50,50,59,50,59,73,69,53,50,40,25,88,85,50,59,50,44
