Liga,Casa,Visitante,fair odd over 1.5, odd over 1.5, % valor, fair odd over 2.5, odd over 2.5, % valor, fair odd under 3.5, odd under 3.5, % valor
Premier League,Leeds,Liverpool,1.419,1.17,-0.17547568710359415,1.988,1.57,-0.21026156941649896,1.582,1.57,-0.007585335018963344
Superliga Argentina,Platense,Colón,1.466,0,-1.0,3.033,2.40,-0.20870425321463898,1.325,0,-1.0
Superliga Argentina,Banfield,Córdoba SdE,1.802,0,-1.0,3.767,2.50,-0.3363419166445447,1.134,0,-1.0
Superliga Argentina,Sarmiento,Arsenal,1.455,0,-1.0,3.022,2.30,-0.23891462607544672,1.202,0,-1.0
Superliga Argentina,Atl. Tucumán,R. Central,1.389,0,-1.0,2.728,2.40,-0.12023460410557195,1.316,0,-1.0
Superliga Argentina,Godoy Cruz,Lanús,1.429,0,-1.0,2.577,0,-1.0,1.105,0,-1.0
La Liga,Celta Vigo,Mallorca,1.471,0,-1.0,2.271,2.63,0.15808014090708938,1.243,0,-1.0
Primeira Liga,Vizela,Boavista,1.493,0,-1.0,1.594,2.05,0.2860727728983687,1.477,0,-1.0
Serie A TIM,Fiorentina,Atalanta,1.270,0,-1.0,2.865,1.91,-0.3333333333333334,1.254,0,-1.0
Primera Division,Curicó Unido,Unión Española,1.399,0,-1.0,1.751,0,-1.0,1.493,0,-1.0
Primera Division,La Luz,Dep. Maldonado,1.380,0,-1.0,1.619,0,-1.0,1.620,0,-1.0
Liga Adelante,Levante,Mirandés,1.981,0,-1.0,3.152,2.05,-0.3496192893401016,1.213,0,-1.0
Liga SABSEG,Vilafranquense,Estrela Amadora,1.308,0,-1.0,2.080,0,-1.0,1.343,0,-1.0
Ligue 2,Grenoble,Saint-Étienne,1.539,0,-1.0,2.095,2.15,0.026252983293555947,1.347,0,-1.0
Allsvenskan,Varberg,Sirius,2.000,0,-1.0,2.676,1.95,-0.27130044843049334,1.143,0,-1.0
Primera División,Huila,Pasto,1.445,0,-1.0,2.396,2.30,-0.040066777963272154,1.266,0,-1.0
Superligaen,Randers,Nordsjælland,1.477,0,-1.0,1.974,1.85,-0.06281661600810531,1.356,0,-1.0
Premier League,Smouha,Ahly,1.250,0,-1.0,1.519,0,-1.0,1.180,0,-1.0
Premier League,Zamalek,Mokawloon,1.394,0,-1.0,1.867,0,-1.0,1.278,0,-1.0
Division Profesional,Libertad,Resistencia,1.455,0,-1.0,2.843,0,-1.0,1.205,0,-1.0
Division Profesional,General Caballero JLM,Luqueño,1.409,0,-1.0,2.003,0,-1.0,1.499,0,-1.0
Ekstraklasa,Stal Mielec,Miedź,1.399,0,-1.0,3.123,2.25,-0.2795389048991355,1.235,0,-1.0
Eerste Divisie,AZ II,Utrecht II,1.195,0,-1.0,2.000,1.60,-0.19999999999999996,1.660,0,-1.0
Eerste Divisie,Ajax,PSV II,1.163,0,-1.0,1.616,1.48,-0.08415841584158423,1.600,0,-1.0
