Rodada,EscanteioCasa,AtkPerigosoCasa,PosseCasa,Casa,ScoreCasa,X,ScoreVisitante,Visitante,PosseVisitante,AtkPerigosoVisitante,EscanteioVisitante
22,8,60,54,Botafogo RJ,0,X,0,Atletico GO,46,31,3
22,5,44,44,Cuiaba,1,X,0,Juventude,56,37,4
22,5,61,57,Corinthians,0,X,1,Palmeiras,43,18,3
22,6,49,46,Goias,1,X,1,Avai,54,43,2
21,6,52,48,Coritiba,1,X,2,Santos,52,55,7
21,11,58,64,Atletico-MG,2,X,3,Athletico-PR,36,24,2
21,7,29,33,Fortaleza,3,X,0,Internacional,67,57,5
21,11,54,64,Fluminense,1,X,0,Cuiaba,36,32,6
21,5,47,56,Palmeiras,3,X,0,Goias,44,33,4
21,5,50,54,Sao Paulo,0,X,2,Flamengo RJ,46,49,3
21,8,43,43,Atletico GO,2,X,1,Bragantino,57,81,10
21,2,41,41,Avai,1,X,1,Corinthians,59,52,8
21,3,39,40,Botafogo RJ,1,X,1,Ceara,60,49,8
21,13,73,65,Juventude,0,X,1,America MG,35,31,2
20,5,53,33,Santos,2,X,2,Fluminense,67,53,5
20,7,70,51,Bragantino,1,X,0,Juventude,49,33,5
20,7,64,47,America MG,3,X,1,Avai,53,37,7
20,10,67,56,Cuiaba,0,X,1,Fortaleza,44,45,3
20,6,38,39,Athletico-PR,1,X,0,Sao Paulo,61,51,5
20,1,31,31,Internacional,3,X,0,Atletico-MG,69,55,7
20,6,74,52,Flamengo RJ,4,X,1,Atletico GO,48,31,3
20,4,62,49,Corinthians,1,X,0,Botafogo RJ,51,40,4
20,6,33,47,Ceara,1,X,2,Palmeiras,53,40,5
20,3,42,50,Goias,1,X,0,Coritiba,50,59,7
19,4,30,42,Coritiba,1,X,0,Cuiaba,58,66,4
19,7,65,52,Fortaleza,0,X,0,Santos,48,68,5
19,6,86,64,Atletico GO,0,X,1,America MG,36,32,3
19,5,48,53,Atletico-MG,1,X,2,Corinthians,47,36,0
19,9,52,61,Fluminense,2,X,1,Bragantino,39,28,5
19,8,43,44,Juventude,1,X,0,Ceara,56,55,3
19,12,44,51,Palmeiras,2,X,1,Internacional,49,24,5
19,6,54,43,Avai,1,X,2,Flamengo RJ,57,49,5
19,2,40,53,Botafogo RJ,2,X,0,Athletico-PR,47,62,11
19,6,74,63,Sao Paulo,3,X,3,Goias,37,42,3
18,7,61,48,America MG,0,X,1,Palmeiras,52,63,7
18,4,35,32,Cuiaba,1,X,1,Atletico-MG,68,73,2
18,9,61,61,Corinthians,3,X,1,Coritiba,39,34,2
18,4,30,35,Santos,2,X,0,Botafogo RJ,65,55,4
18,5,96,63,Flamengo RJ,4,X,0,Juventude,37,14,4
18,4,23,34,Internacional,3,X,3,Sao Paulo,66,41,3
18,3,44,42,Athletico-PR,4,X,1,Atletico GO,58,21,2
18,4,41,55,Bragantino,2,X,1,Fortaleza,45,32,9
18,2,58,27,Goias,2,X,3,Fluminense,73,75,3
18,3,56,45,Ceara,1,X,0,Avai,55,38,3
17,11,55,61,Palmeiras,1,X,0,Cuiaba,39,39,4
17,10,81,55,America MG,0,X,3,Bragantino,45,39,5
17,5,72,62,Atletico GO,0,X,1,Fortaleza,38,27,6
17,6,43,37,Botafogo RJ,0,X,1,Atletico-MG,63,48,2
17,5,27,37,Sao Paulo,2,X,2,Fluminense,63,42,3
17,7,67,61,Juventude,0,X,0,Goias,39,41,4
17,6,44,45,Ceara,3,X,1,Corinthians,55,23,2
17,6,34,41,Avai,1,X,0,Santos,59,47,8
17,8,64,55,Flamengo RJ,2,X,0,Coritiba,45,55,6
17,5,49,60,Athletico-PR,0,X,0,Internacional,40,43,5
16,13,74,68,Internacional,1,X,0,America MG,32,39,2
16,5,38,46,Cuiaba,2,X,0,Botafogo RJ,54,34,2
16,7,60,59,Atletico-MG,0,X,0,Sao Paulo,41,48,4
16,2,23,39,Fortaleza,0,X,0,Palmeiras,61,42,6
16,9,41,48,Santos,1,X,0,Atletico GO,52,39,10
16,6,49,49,Corinthians,1,X,0,Flamengo RJ,51,33,3
16,11,57,48,Coritiba,2,X,2,Juventude,52,35,7
16,2,30,35,Goias,2,X,1,Athletico-PR,65,46,2
16,9,58,59,Fluminense,2,X,1,Ceara,41,48,10
16,19,64,46,Bragantino,4,X,0,Avai,54,40,7
15,9,49,64,Bragantino,0,X,1,Botafogo RJ,36,28,4
15,11,70,52,America MG,1,X,0,Goias,48,61,3
15,2,32,38,Coritiba,2,X,1,Fortaleza,62,63,6
15,3,71,53,Atletico GO,1,X,2,Sao Paulo,47,58,0
15,4,53,60,Avai,1,X,2,Cuiaba,40,51,4
15,9,65,71,Palmeiras,0,X,2,Athletico-PR,29,20,2
15,3,44,61,Ceara,1,X,1,Internacional,39,19,2
15,7,48,45,Santos,1,X,2,Flamengo RJ,55,40,3
15,6,48,58,Fluminense,4,X,0,Corinthians,42,33,4
15,6,68,56,Juventude,1,X,2,Atletico-MG,44,25,6
14,4,40,49,Ceara,1,X,1,Atletico GO,51,33,2
14,4,49,46,Goias,1,X,0,Cuiaba,54,53,6
14,16,81,59,Sao Paulo,0,X,0,Juventude,41,15,1
14,2,24,49,Avai,2,X,2,Palmeiras,51,45,5
14,1,21,21,Botafogo RJ,0,X,1,Fluminense,79,70,6
14,1,46,66,Atletico-MG,3,X,2,Fortaleza,34,24,3
14,3,41,61,Corinthians,0,X,0,Santos,39,23,2
14,7,51,53,Flamengo RJ,3,X,0,America MG,47,45,7
14,5,23,30,Athletico-PR,4,X,2,Bragantino,70,53,11
14,1,39,56,Internacional,3,X,0,Coritiba,44,31,10
13,3,41,39,Sao Paulo,1,X,2,Palmeiras,61,63,7
13,6,48,50,Fluminense,2,X,0,Avai,50,37,3
13,7,64,65,Atletico GO,3,X,1,Juventude,35,24,2
13,5,49,51,Fortaleza,1,X,0,America MG,49,56,8
13,7,100,78,Internacional,2,X,3,Botafogo RJ,22,19,2
13,9,46,48,Atletico-MG,2,X,0,Flamengo RJ,52,39,8
13,6,69,66,Corinthians,1,X,0,Goias,34,35,4
13,12,69,61,Coritiba,0,X,1,Athletico-PR,39,32,1
13,3,33,43,Santos,2,X,2,Bragantino,57,54,9
13,7,58,45,Cuiaba,0,X,0,Ceara,55,45,6
12,3,34,50,Avai,3,X,2,Fortaleza,50,38,4
12,12,58,49,Palmeiras,4,X,2,Atletico GO,51,20,4
12,3,41,33,Botafogo RJ,1,X,0,Sao Paulo,67,53,3
12,3,24,22,America MG,0,X,0,Fluminense,78,94,8
12,11,55,44,Athletico-PR,1,X,1,Corinthians,56,41,4
12,4,45,63,Flamengo RJ,2,X,0,Cuiaba,37,34,3
12,8,60,53,Goias,1,X,2,Internacional,47,32,2
12,4,41,52,Bragantino,4,X,2,Coritiba,48,40,5
12,5,61,52,Ceara,0,X,0,Atletico-MG,48,27,2
12,4,21,34,Juventude,1,X,2,Santos,66,79,9
11,7,40,51,Botafogo RJ,0,X,1,Avai,49,30,1
11,7,76,63,Fortaleza,0,X,0,Athletico-PR,37,33,1
11,5,42,47,Coritiba,0,X,2,Palmeiras,53,58,6
11,2,8,49,Goias,1,X,1,Ceara,51,9,10
11,2,11,48,Sao Paulo,1,X,0,America MG,52,10,4
11,4,34,32,Internacional,3,X,1,Flamengo RJ,68,52,4
11,5,50,68,Atletico-MG,1,X,1,Santos,32,24,6
11,5,57,43,Cuiaba,1,X,1,Bragantino,57,40,4
11,10,65,47,Fluminense,0,X,2,Atletico GO,53,28,6
11,4,43,57,Corinthians,2,X,0,Juventude,43,29,5
10,1,28,40,Coritiba,1,X,1,Sao Paulo,60,61,10
10,6,47,51,Fortaleza,1,X,1,Goias,49,34,2
10,7,37,48,Palmeiras,4,X,0,Botafogo RJ,52,25,4
10,1,21,43,Fluminense,5,X,3,Atletico-MG,57,50,9
10,10,54,51,Santos,1,X,1,Internacional,49,41,3
10,8,62,53,Atletico GO,2,X,1,Avai,47,38,6
10,5,33,32,Bragantino,1,X,0,Flamengo RJ,68,79,7
10,4,66,57,America MG,0,X,2,Ceara,43,28,4
10,11,92,54,Juventude,1,X,3,Athletico-PR,46,37,5
10,4,52,39,Cuiaba,1,X,0,Corinthians,61,56,3
9,9,70,62,Botafogo RJ,1,X,2,Goias,38,29,2
9,7,57,49,Bragantino,0,X,2,Internacional,51,33,3
9,9,64,66,Flamengo RJ,1,X,2,Fortaleza,34,43,3
9,6,30,50,Palmeiras,0,X,0,Atletico-MG,50,36,2
9,5,67,49,Juventude,1,X,0,Fluminense,51,66,7
9,9,74,56,Atletico GO,0,X,1,Corinthians,44,31,0
9,7,42,42,Athletico-PR,2,X,2,Santos,58,36,6
9,4,49,53,Avai,1,X,1,Sao Paulo,47,38,7
9,5,55,51,Ceara,1,X,1,Coritiba,49,38,6
9,8,75,52,America MG,2,X,1,Cuiaba,48,47,4
3,4,35,41,Fortaleza,0,X,1,Ceara,59,45,1
8,3,47,44,Internacional,1,X,1,Atletico GO,56,75,12
8,13,72,62,Atletico-MG,2,X,1,Avai,38,21,0
8,6,47,63,Corinthians,1,X,1,America MG,37,46,5
8,8,60,58,Cuiaba,0,X,1,Athletico-PR,42,34,8
8,12,43,62,Fluminense,1,X,2,Flamengo RJ,38,33,2
8,5,38,28,Coritiba,1,X,0,Botafogo RJ,72,65,9
8,3,43,44,Santos,0,X,1,Palmeiras,56,37,4
8,8,72,62,Fortaleza,1,X,1,Juventude,38,41,7
8,8,47,51,Sao Paulo,2,X,2,Ceara,49,40,3
8,6,71,52,Goias,1,X,1,Bragantino,48,45,1
7,5,32,42,Athletico-PR,2,X,1,Avai,58,22,4
7,8,42,55,Corinthians,1,X,1,Sao Paulo,45,35,8
7,12,77,63,Fortaleza,0,X,1,Fluminense,37,20,5
7,3,41,41,America MG,1,X,1,Botafogo RJ,59,48,5
7,4,31,42,Cuiaba,1,X,1,Internacional,58,50,11
7,7,35,45,Juventude,0,X,3,Palmeiras,55,32,7
7,6,60,51,Santos,0,X,0,Ceara,49,41,2
7,3,61,57,Atletico GO,2,X,0,Coritiba,43,45,5
7,6,58,64,Flamengo RJ,1,X,0,Goias,36,31,4
6,5,32,32,Goias,1,X,0,Santos,68,64,9
6,6,71,64,Avai,1,X,2,Juventude,36,37,6
6,5,48,62,Botafogo RJ,3,X,1,Fortaleza,38,30,1
6,7,44,58,Coritiba,1,X,0,America MG,42,41,4
6,15,76,73,Sao Paulo,2,X,1,Cuiaba,27,25,3
6,4,46,63,Fluminense,2,X,1,Athletico-PR,37,36,5
6,10,71,56,Atletico-MG,2,X,0,Atletico GO,44,25,2
6,5,38,48,Internacional,2,X,2,Corinthians,52,39,6
6,8,32,41,Ceara,2,X,2,Flamengo RJ,59,17,3
6,7,27,48,Palmeiras,2,X,0,Bragantino,52,35,4
7,3,46,38,Bragantino,1,X,1,Atletico-MG,62,42,10
5,5,34,58,Avai,2,X,1,Coritiba,42,26,7
5,9,65,54,Fortaleza,1,X,1,Sao Paulo,46,32,4
5,6,61,57,Juventude,1,X,1,Internacional,43,29,3
5,1,59,57,Bragantino,0,X,1,Corinthians,43,30,1
