Liga,MediaLiga,TimeCasa,TimeFora,fair odd over 1.5,fair odd over 2.5,fair odd over 3.5, fair odd under 3.5, Over 2.5 Casa, Over 2.5 Casa Total, Over 2.5 Casa Ult Jogos, Over 2.5 Casa Total Ult Jogos,Over 2.5 Fora, Over 2.5 Fora Total,Over 2.5 Fora Ult Jogos, Over 2.5 Fora Total Ult Jogos,Over 1.5 Casa, Over 1.5 Casa Total, Over 2.5 Casa, Over 2.5 Casa Total, Over 3.5 Casa, Over 3.5 Casa Total,Over 1.5 Fora, OVer 1.5 Fora Total, OVer 2.5 Fora, Over 2.5 Fora Total, Over 3.5 Fora, Over 3.5 Fora Total
Série B,,Guarani,Avaí,0,3.306,0,1.000,0,0,60,50,0,0,60,50,0,0,0,0,0,0,0,0,0,0,0,0
Série B,,Ituano,Ceará,0,5.388,0,1.000,0,0,25,20,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0
Liga MX,,A San Luis,Juárez,1.450,2.163,5.000,1.250,47,42,40,30,50,44,60,40,69,69,44,41,13,22,65,73,47,42,24,21
Liga MX,,Necaxa,Puebla,1.270,2.123,2.516,1.660,53,50,20,30,50,59,40,60,73,69,53,50,40,25,88,85,50,59,50,44
